Season,rule,support,confidence,lift
Autumn,"Summary=Foggy → Humidity_Bin=High, Temp_Bin=Low",0.052780552780552784,0.6317887394120578,4.25394974092917
Autumn,"Summary=Foggy → Humidity_Bin=High, Wind_Bin=Low",0.05544455544455545,0.6636771300448431,3.5918403631893017
Autumn,"Summary=Partly Cloudy, Temp_Bin=High → Humidity_Bin=Low, Precip Type=rain",0.09032634032634032,0.8513142408787759,2.9843825073503156
Autumn,"Summary=Partly Cloudy, Temp_Bin=High → Humidity_Bin=Low",0.09032634032634032,0.8513142408787759,2.9822066670854057
Autumn,"Precip Type=rain, Summary=Partly Cloudy, Temp_Bin=High → Humidity_Bin=Low",0.09032634032634032,0.8513142408787759,2.9822066670854057
Autumn,"Temp_Bin=High, Wind_Bin=High → Humidity_Bin=Low, Precip Type=rain",0.07059607059607059,0.828125,2.9030898876404496
Autumn,"Temp_Bin=High, Wind_Bin=High → Humidity_Bin=Low",0.07059607059607059,0.828125,2.9009733158355204
Autumn,"Precip Type=rain, Temp_Bin=High, Wind_Bin=High → Humidity_Bin=Low",0.07059607059607059,0.828125,2.9009733158355204
Autumn,"Summary=Foggy, Wind_Bin=Low → Humidity_Bin=High",0.05544455544455545,0.9823008849557523,2.7367269465588535
Autumn,"Summary=Foggy, Temp_Bin=Low → Humidity_Bin=High",0.052780552780552784,0.9799072642967542,2.73005823002032
Autumn,"Humidity_Bin=Low, Precip Type=rain, Summary=Partly Cloudy → Temp_Bin=High",0.09032634032634032,0.6668715427166564,2.7246465888137674
Autumn,"Humidity_Bin=Low, Summary=Partly Cloudy → Temp_Bin=High",0.09032634032634032,0.6660527931246164,2.7213014119091468
Autumn,"Humidity_Bin=Low, Summary=Partly Cloudy → Precip Type=rain, Temp_Bin=High",0.09032634032634032,0.6660527931246164,2.7213014119091468
Autumn,Summary=Foggy → Humidity_Bin=High,0.0815018315018315,0.9755854509217737,2.718017496572503
Autumn,"Precip Type=rain, Summary=Foggy → Humidity_Bin=High",0.06934731934731934,0.9748390871854885,2.715938099332503
Autumn,"Humidity_Bin=Low, Precip Type=rain, Wind_Bin=Normal → Temp_Bin=High",0.06585081585081586,0.6630343671416598,2.70896898575021
Autumn,"Humidity_Bin=Low, Wind_Bin=Normal → Precip Type=rain, Temp_Bin=High",0.06585081585081586,0.6627565982404693,2.7078341013824887
